Name complex,room number,square,floor,Цена на 25.01.2022,Цена на 11.06.2022,Цена на 15.02.2023
complex AVrorA,3,127.09,15,194000,224000,265200

complex AVrorA,3,127.09,16,194000,224000,265200

complex AVrorA,3,127.09,17,198000,228000,269700

complex AVrorA,3,127.09,18,198000,228000,269700

complex AVrorA,3,127.09,19,198000,228000,269700

complex AVrorA,3,127.09,20,198000,228000,269700

complex AVrorA,3,127.09,21,201000,231000,273000

complex AVrorA,3,127.09,22,201000,231000,273000

complex URAL,0,23.02,3,129000,155000,192000

complex URAL,0,23.02,4,129000,155000,192000

complex URAL,0,23.02,5,129000,155000,192000

complex URAL,0,23.02,6,129000,155000,192000

complex URAL,0,27.56,3,129000,155000,192000

complex URAL,0,27.56,4,129000,155000,192000

complex URAL,0,27.56,5,129000,155000,192000

complex URAL,0,27.56,6,129000,155000,192000

complex URAL,0,23.02,7,139000,160000,197700

complex URAL,0,23.02,8,139000,160000,197700

complex URAL,0,23.02,9,139000,160000,197700

complex URAL,0,23.02,10,139000,160000,197700

complex URAL,0,23.02,11,139000,160000,197700

complex URAL,0,23.02,12,139000,160000,197700

complex URAL,0,23.02,13,139000,160000,197700

complex URAL,0,23.02,14,139000,160000,197700

complex URAL,0,23.02,15,139000,160000,197700

complex URAL,0,27.56,7,139000,160000,197700

complex URAL,0,27.56,8,139000,160000,197700

complex URAL,0,27.56,9,139000,160000,197700

complex URAL,0,27.56,10,139000,160000,197700

complex URAL,0,27.56,11,139000,160000,197700

complex URAL,0,27.56,12,139000,160000,197700

complex URAL,0,27.56,13,139000,160000,197700

complex URAL,0,27.56,14,139000,160000,197700

complex URAL,0,27.56,15,139000,160000,197700

complex URAL,0,23.02,16,149000,168000,206700

complex URAL,0,23.02,17,149000,168000,206700

complex URAL,0,23.02,18,149000,168000,206700

complex URAL,0,23.02,19,149000,168000,206700

complex URAL,0,23.02,20,149000,168000,206700

complex URAL,0,23.02,21,149000,168000,206700

complex URAL,0,23.02,22,149000,168000,206700

complex URAL,0,23.02,23,149000,168000,206700

complex URAL,0,27.56,16,149000,168000,206700

complex URAL,0,27.56,17,149000,168000,206700

complex URAL,0,27.56,18,149000,168000,206700

complex URAL,0,27.56,19,149000,168000,206700

complex URAL,0,27.56,20,149000,168000,206700

complex URAL,0,27.56,21,149000,168000,206700

complex URAL,0,27.56,22,149000,168000,206700

complex URAL,0,27.56,23,149000,168000,206700

complex URAL,1,35.13,3,116000,138000,185900

complex URAL,1,35.13,4,116000,138000,185900

complex URAL,1,35.13,5,116000,138000,185900

complex URAL,1,35.13,6,116000,138000,185900

complex URAL,1,37.26,3,116000,138000,185900

complex URAL,1,37.26,4,116000,138000,185900

complex URAL,1,37.26,5,116000,138000,185900

complex URAL,1,37.26,6,116000,138000,185900

complex URAL,1,35.13,7,121000,142000,191500

complex URAL,1,35.13,8,121000,142000,191500

complex URAL,1,35.13,9,121000,142000,191500

complex URAL,1,35.13,10,121000,142000,191500

complex URAL,1,35.13,11,121000,142000,191500

complex URAL,1,35.13,12,121000,142000,191500

complex URAL,1,35.13,13,121000,142000,191500

complex URAL,1,35.13,14,121000,142000,191500

complex URAL,1,35.13,15,121000,142000,191500

complex URAL,1,37.26,7,121000,142000,191500

complex URAL,1,37.26,8,121000,142000,191500

complex URAL,1,37.26,9,121000,142000,191500

complex URAL,1,37.26,10,121000,142000,191500

complex URAL,1,37.26,11,121000,142000,191500

complex URAL,1,37.26,12,121000,142000,191500

complex URAL,1,37.26,13,121000,142000,191500

complex URAL,1,37.26,14,121000,142000,191500

complex URAL,1,37.26,15,121000,142000,191500

complex URAL,1,35.13,16,126000,145000,193800

complex URAL,1,35.13,17,126000,145000,193800

complex URAL,1,35.13,18,126000,145000,193800

complex URAL,1,35.13,19,126000,145000,193800

complex URAL,1,35.13,20,126000,145000,193800

complex URAL,1,35.13,21,126000,145000,193800

complex URAL,1,35.13,22,126000,145000,193800

complex URAL,1,35.13,23,126000,145000,193800

complex URAL,1,37.26,16,126000,145000,193800

complex URAL,1,37.26,17,126000,145000,193800

complex URAL,1,37.26,18,126000,145000,193800

complex URAL,1,37.26,19,126000,145000,193800

complex URAL,1,37.26,20,126000,145000,193800

complex URAL,1,37.26,21,126000,145000,193800

complex URAL,1,37.26,22,126000,145000,193800

complex URAL,1,37.26,23,126000,145000,193800

complex URAL,1,45.43,3,101000,121000,162200

complex URAL,1,45.43,4,101000,121000,162200

complex URAL,1,45.43,5,101000,121000,162200

complex URAL,1,45.43,6,101000,121000,162200

complex URAL,1,49.05,3,101000,121000,162200

complex URAL,1,49.05,4,101000,121000,162200

complex URAL,1,49.05,5,101000,121000,162200

complex URAL,1,49.05,6,101000,121000,162200

complex URAL,1,45.43,7,106000,126000,167800

complex URAL,1,45.43,8,106000,126000,167800

complex URAL,1,45.43,9,106000,126000,167800

complex URAL,1,45.43,10,106000,126000,167800

complex URAL,1,45.43,11,106000,126000,167800

complex URAL,1,45.43,12,106000,126000,167800

complex URAL,1,45.43,13,106000,126000,167800

complex URAL,1,45.43,14,106000,126000,167800

complex URAL,1,45.43,15,106000,126000,167800

complex URAL,1,49.05,7,106000,126000,167800

complex URAL,1,49.05,8,106000,126000,167800

complex URAL,1,49.05,9,106000,126000,167800

complex URAL,1,49.05,10,106000,126000,167800

complex URAL,1,49.05,11,106000,126000,167800

complex URAL,1,49.05,12,106000,126000,167800

complex URAL,1,49.05,13,106000,126000,167800

complex URAL,1,49.05,14,106000,126000,167800

complex URAL,1,49.05,15,106000,126000,167800

complex URAL,1,45.43,16,111000,130000,172300

complex URAL,1,45.43,17,111000,130000,172300

complex URAL,1,45.43,18,111000,130000,172300

complex URAL,1,45.43,19,111000,130000,172300

complex URAL,1,45.43,20,111000,130000,172300

complex URAL,1,45.43,21,111000,130000,172300

complex URAL,1,45.43,22,111000,130000,172300

